x-axis,1,2,3
second,Volt,Volt,Volt
-64.000E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-63.900E-06,+783.919590E-03,+0.0E+00,+37.085427E-03
-63.800E-06,+804.020092E-03,+0.0E+00,+37.487437E-03
-63.700E-06,+783.919590E-03,-30.150753E-03,+37.085427E-03
-63.600E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-63.500E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-63.400E-06,+763.819087E-03,-40.201005E-03,+36.281407E-03
-63.300E-06,+723.618083E-03,-10.050251E-03,+36.281407E-03
-63.200E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-63.100E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-63.000E-06,+763.819087E-03,-40.201005E-03,+36.281407E-03
-62.900E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-62.800E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-62.700E-06,+804.020092E-03,+0.0E+00,+37.286432E-03
-62.600E-06,+804.020092E-03,-20.100502E-03,+37.487437E-03
-62.500E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-62.400E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-62.300E-06,+783.919590E-03,-10.050251E-03,+37.085427E-03
-62.200E-06,+723.618083E-03,+0.0E+00,+36.683417E-03
-62.100E-06,+783.919590E-03,-10.050251E-03,+37.286432E-03
-62.000E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-61.900E-06,+783.919590E-03,+0.0E+00,+37.688442E-03
-61.800E-06,+763.819087E-03,+0.0E+00,+37.889447E-03
-61.700E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-61.600E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-61.500E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-61.400E-06,+763.819087E-03,+0.0E+00,+36.281407E-03
-61.300E-06,+723.618083E-03,-30.150753E-03,+36.281407E-03
-61.200E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-61.100E-06,+723.618083E-03,-30.150753E-03,+36.281407E-03
-61.000E-06,+763.819087E-03,-20.100502E-03,+37.085427E-03
-60.900E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-60.800E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-60.700E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-60.600E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-60.500E-06,+783.919590E-03,+0.0E+00,+37.085427E-03
-60.400E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-60.300E-06,+723.618083E-03,-30.150753E-03,+36.884422E-03
-60.200E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-60.100E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-60.000E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-59.900E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-59.800E-06,+723.618083E-03,-20.100502E-03,+36.281407E-03
-59.700E-06,+804.020092E-03,-30.150753E-03,+37.085427E-03
-59.600E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-59.500E-06,+723.618083E-03,+0.0E+00,+36.281407E-03
-59.400E-06,+763.819087E-03,+0.0E+00,+35.879397E-03
-59.300E-06,+804.020092E-03,-10.050251E-03,+36.884422E-03
-59.200E-06,+804.020092E-03,-0.0E+00,+37.085427E-03
-59.100E-06,+743.718585E-03,-10.050251E-03,+36.884422E-03
-59.000E-06,+723.618083E-03,-20.100502E-03,+36.281407E-03
-58.900E-06,+743.718585E-03,-30.150753E-03,+36.281407E-03
-58.800E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-58.700E-06,+743.718585E-03,+0.0E+00,+37.085427E-03
-58.600E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-58.500E-06,+723.618083E-03,+0.0E+00,+36.884422E-03
-58.400E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-58.300E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-58.200E-06,+723.618083E-03,-20.100502E-03,+37.085427E-03
-58.100E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-58.000E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-57.900E-06,+804.020092E-03,+0.0E+00,+36.482412E-03
-57.800E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-57.700E-06,+804.020092E-03,-10.050251E-03,+37.085427E-03
-57.600E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-57.500E-06,+723.618083E-03,-10.050251E-03,+36.281407E-03
-57.400E-06,+804.020092E-03,-20.100502E-03,+36.281407E-03
-57.300E-06,+743.718585E-03,-30.150753E-03,+37.085427E-03
-57.200E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-57.100E-06,+723.618083E-03,-30.150753E-03,+37.688442E-03
-57.000E-06,+844.221096E-03,+0.0E+00,+37.085427E-03
-56.900E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-56.800E-06,+723.618083E-03,+0.0E+00,+37.085427E-03
-56.700E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-56.600E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-56.500E-06,+783.919590E-03,-10.050251E-03,+36.482412E-03
-56.400E-06,+804.020092E-03,-40.201005E-03,+36.281407E-03
-56.300E-06,+804.020092E-03,-10.050251E-03,+36.281407E-03
-56.200E-06,+763.819087E-03,-20.100502E-03,+36.683417E-03
-56.100E-06,+743.718585E-03,-40.201005E-03,+36.281407E-03
-56.000E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-55.900E-06,+723.618083E-03,+0.0E+00,+36.281407E-03
-55.800E-06,+804.020092E-03,+0.0E+00,+36.281407E-03
-55.700E-06,+723.618083E-03,-30.150753E-03,+37.889447E-03
-55.600E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-55.500E-06,+723.618083E-03,-10.050251E-03,+37.085427E-03
-55.400E-06,+804.020092E-03,+0.0E+00,+36.683417E-03
-55.300E-06,+743.718585E-03,-10.050251E-03,+37.085427E-03
-55.200E-06,+723.618083E-03,-0.0E+00,+37.085427E-03
-55.100E-06,+783.919590E-03,-40.201005E-03,+36.482412E-03
-55.000E-06,+763.819087E-03,-40.201005E-03,+37.889447E-03
-54.900E-06,+723.618083E-03,-30.150753E-03,+37.286432E-03
-54.800E-06,+723.618083E-03,-40.201005E-03,+37.889447E-03
-54.700E-06,+804.020092E-03,+0.0E+00,+37.085427E-03
-54.600E-06,+723.618083E-03,-40.201005E-03,+37.085427E-03
-54.500E-06,+844.221097E-03,-10.050251E-03,+37.286432E-03
-54.400E-06,+723.618083E-03,-40.201005E-03,+36.281407E-03
-54.300E-06,+723.618083E-03,-10.050251E-03,+36.281407E-03
-54.200E-06,+763.819087E-03,+0.0E+00,+36.683417E-03
-54.100E-06,+723.618083E-03,+0.0E+00,+36.884422E-03
-54.000E-06,+804.020092E-03,-40.201005E-03,+37.085427E-03
-53.900E-06,+804.020092E-03,+0.0E+00,+36.884422E-03
